Name,study_hours,sleep_hours,focus_level,stress_level,break_time,revision,screen_time,physical_activity,attendance,previous_marks,performance
Anaya Reddy,4.4,7.7,5,6,11,0,4.9,0,90,61,87
Tanvi Roy,5.2,8.3,9,2,18,1,5.3,0,70,50,100
Harsh Pandey,3.2,6.5,7,3,9,1,4.8,1,74,73,100
Myra Jain,2.3,6.7,9,5,17,1,6.3,0,78,92,95
Tanishq Jain,5,8.9,8,3,5,1,6.6,1,71,75,100
Kavya Sharma,3.4,6.4,8,6,19,0,5.4,1,85,80,97
Diya Mishra,3.7,8,8,2,14,0,5.7,1,83,59,100
Krishna Pandey,6,7.5,6,5,16,1,5.9,0,86,66,100
Manav Kulkarni,1.1,5.7,6,3,12,1,4.2,0,94,86,93
Anika Agarwal,4.3,7.1,7,4,16,1,5,1,87,75,100
Myra Kumar,5.6,8,6,3,9,1,6,1,88,70,100
Atharva Trivedi,1.3,5.5,7,8,12,0,3.3,0,97,69,78
Atharva Das,2.2,7.7,9,5,25,0,2.4,1,100,60,100
Atharva Shah,7.9,7.7,8,7,16,1,5.5,1,79,58,100
Riya Reddy,5.2,5.9,8,3,22,1,6.9,1,100,51,100
Anika Banerjee,5.1,6.8,6,3,19,1,10.6,1,81,90,98
Priya Shah,3.7,6.6,5,5,11,1,1.8,1,89,57,95
Aadhya Reddy,7,7.6,8,3,15,1,3.5,0,81,68,100
Tanvi Bansal,3.3,5.8,8,3,20,1,5.1,0,71,90,99
Palak Reddy,4.5,6.3,8,7,15,0,5.7,1,100,52,92
Ankit Joshi,3,8.3,6,1,14,0,7.1,1,77,65,87
Aman Shah,4.8,6.9,5,7,22,1,3.3,0,87,66,94
Harsh Mishra,7,7.3,7,7,15,1,6.1,1,95,76,100
Anika Shah,5.1,8.6,9,4,10,0,7.7,1,100,56,100
Vivaan Bansal,7.6,7.2,5,7,12,0,2.1,0,100,73,100
Kabir Reddy,4.1,7,6,5,9,1,5.5,1,75,62,95
Vivaan Saxena,8.5,7.7,6,5,21,0,5.3,0,76,95,100
Meera Agarwal,5.7,6.3,8,2,28,0,2.4,0,86,65,100
Karan Kulkarni,3.7,6.4,7,5,17,0,7.3,0,98,86,94
Shaurya Patel,4.4,6.4,6,5,5,0,5,1,89,77,100
Pooja Yadav,2.1,5.7,6,3,14,1,6.6,0,83,33,59
Riya Nair,3,5.8,4,2,5,1,5.1,0,88,74,82
Rohit Das,5.5,7.7,9,7,22,0,1.8,1,87,61,100
Harsh Nair,3.6,7.9,9,5,16,1,7.9,1,98,63,99
Karan Kumar,4.5,8.3,7,3,16,0,4.8,0,87,67,100
Rudra Trivedi,5.9,7.2,7,5,14,0,2.3,0,81,59,97
Shaurya Kumar,4.5,7.5,9,5,11,1,3.7,1,79,53,100
Aadhya Pandey,4.4,7,8,6,19,1,2.6,0,85,70,98
Atharva Chatterjee,3.7,6.2,6,2,14,0,6.6,0,84,67,98
Sakshi Patel,1.5,5.6,10,6,20,1,6.2,0,86,68,85
Aditya Desai,2.1,7.4,7,3,13,0,4.9,0,78,79,75
Vivaan Yadav,5.4,6.7,6,5,12,1,4.1,1,90,67,96
Krishna Bansal,0,6.5,8,3,10,1,2.3,1,85,59,77
Karan Desai,2.9,6.7,7,7,18,1,4.1,0,85,64,91
Krishna Singh,3,7.2,6,2,21,1,4.5,0,65,69,92
Meera Sharma,3.8,4.7,7,8,11,0,4.1,1,90,61,92
Vivaan Goyal,9.4,4.7,10,2,10,0,7.3,1,90,75,100
Riya Desai,3.1,5.6,6,5,13,1,2.7,0,66,52,81
Arjun Tiwari,7.5,7.5,6,6,8,1,5,0,92,85,100
Reyansh Mishra,5.5,6.9,8,9,14,0,6.2,0,69,65,91
Ira Sharma,4.1,5.8,6,7,20,1,3.1,0,100,37,90
Rahul Desai,1.6,8.2,5,5,14,0,5.2,0,87,63,71
Kabir Saxena,9.9,6.8,6,8,13,0,3.9,1,91,63,100
Vivaan Jain,7.3,6.2,7,7,18,1,4.1,0,71,54,100
Yash Shah,3.8,7.9,4,6,12,1,11.2,1,83,83,85
Sneha Shah,6.1,6.9,6,8,16,1,4.7,1,77,84,99
Aditya Das,5.6,6,10,9,17,1,6.9,1,60,90,96
Ishita Trivedi,7.4,6.3,8,7,20,1,4.9,0,78,47,100
Tanvi Sharma,6.8,5.9,8,3,15,1,5.4,0,88,90,100
Kabir Agarwal,2.6,5.5,8,5,15,1,6.7,0,79,53,79
Anika Sharma,3.2,6.6,10,4,13,1,5,0,77,52,93
Varun Kumar,1.3,5.2,8,8,16,1,7.2,0,90,41,58
Pooja Trivedi,4.1,7.9,8,4,5,1,5.6,0,98,97,100
Reyansh Kulkarni,4.4,7.7,3,4,17,1,2.9,1,87,68,92
Saanvi Agarwal,3.4,6.8,7,5,19,1,3.3,0,68,70,90
Rahul Kulkarni,7.2,7.2,3,4,14,0,7.3,0,90,77,100
Aman Shah,6.1,6.3,4,6,15,1,3.6,0,77,49,95
Arjun Agarwal,5,6.7,9,7,19,1,8.4,0,87,70,94
Neha Reddy,6.9,6.1,7,7,7,0,2.1,1,78,89,100
Reyansh Chatterjee,4.7,7.6,8,4,14,0,6.1,1,94,88,100
Tanishq Desai,5.7,6.7,5,3,14,1,4.8,1,84,56,100
Tanvi Bose,6.1,8.4,7,9,17,0,5,1,98,46,96
Harsh Singh,4.9,7,10,7,18,1,2.3,0,73,84,100
Priya Trivedi,5.9,6.1,9,2,11,1,3.8,1,86,57,100
Rudra Tiwari,2.8,7.1,6,4,14,0,9.1,0,75,70,80
Myra Singh,6.9,6.2,4,6,12,1,4.7,1,95,67,100
Ankit Das,3.9,8.5,8,5,13,1,5.7,0,71,81,100
Dhruv Chatterjee,1.8,6.3,6,9,6,0,4.3,0,94,80,82
Aditya Iyer,5.6,5.1,9,5,17,1,5.6,1,65,100,100
Reyansh Gupta,7.7,5.8,7,7,9,1,3.5,1,79,75,100
Manav Trivedi,2.9,8.4,7,6,8,1,2.1,0,87,69,99
Kavya Bose,2.3,6.5,7,6,12,0,5.5,0,73,89,89
Anaya Singh,5.3,5.3,6,5,12,0,3.9,0,71,57,93
Myra Kumar,5.4,7.4,8,5,11,0,8.8,1,97,69,100
Myra Agarwal,7,7.1,7,10,20,1,4.8,1,81,58,99
Pooja Reddy,7.3,7.8,8,3,14,1,4.9,1,86,87,100
Atharva Kulkarni,0.3,6.4,10,5,23,0,4.6,1,91,70,85
Anika Bose,5.6,7.2,8,5,23,0,3.1,1,93,88,100
Tanishq Pandey,1.3,5.2,7,4,20,0,4.9,0,89,76,85
Sakshi Bansal,5.5,6.5,8,8,20,1,2.7,1,72,68,100
Reyansh Das,4.9,8.3,7,6,10,1,3.9,1,73,87,96
Tanvi Kumar,4.4,6.4,7,5,19,0,4.5,0,81,62,92
Priya Mehta,8.2,5.5,7,8,18,1,5.7,1,100,42,98
Pooja Saxena,3.1,5.6,8,6,13,1,4.2,0,77,63,86
Ankit Bansal,5.8,6.5,7,4,7,1,5.2,0,98,62,100
Ira Agarwal,6.8,6.2,6,5,6,1,4.2,1,86,68,100
Priya Bose,4.2,6.1,4,1,13,0,3.7,0,96,74,100
Krishna Tiwari,5.1,7.4,10,6,16,1,4.5,1,84,75,100
Varun Kumar,4.9,5.9,8,6,16,1,5.3,0,95,68,94
Aditya Reddy,5.9,7.9,6,6,12,1,5.1,1,89,64,98
Vivaan Pandey,4.3,6.2,7,9,10,1,3.2,1,91,74,100
Riya Yadav,5.1,6.7,9,7,18,1,1.4,0,81,53,100
Sai Kumar,6.3,7.4,8,3,9,0,3.9,0,91,87,100
Sakshi Iyer,6.6,6.9,9,1,16,1,7.3,1,89,76,100
Palak Desai,5.1,8.2,7,6,14,1,4.3,1,100,76,100
Nikhil Mishra,6.2,6.8,9,6,21,1,8,0,82,68,100
Neha Bose,4.5,5.3,8,3,16,0,7.8,0,92,100,100
Dhruv Chauhan,4.1,5.7,8,7,9,1,7.6,1,96,69,95
Saanvi Sharma,3.6,9,5,5,17,1,2.2,0,94,65,96
Riya Bansal,3.9,6.5,5,3,16,0,1.3,1,72,62,98
Myra Patel,4.7,8.5,5,6,11,0,2.6,0,79,83,100
Ishaan Patel,4.4,5,6,5,18,1,4.9,1,100,57,96
Dhruv Iyer,7.3,8.3,6,6,5,1,5.5,0,74,35,100
Yash Shah,2.5,8.2,8,3,16,0,5.1,0,90,72,100
Karan Trivedi,5.5,5,7,4,21,1,6.8,0,84,89,97
Saanvi Das,2.4,7.2,7,1,9,1,6.6,1,76,69,90
Pooja Kulkarni,3.3,6,7,8,18,0,7.3,1,68,80,77
Shaurya Das,5,7.6,7,5,22,0,5.1,1,90,78,100
Aman Shah,5,6.6,7,10,5,1,6.1,0,94,74,88
Myra Pandey,4.3,4.4,7,4,15,1,6.5,0,70,82,89
Sneha Chatterjee,6.6,6.8,6,3,30,0,3.8,1,91,71,100
Sneha Joshi,4.5,5,7,7,21,1,4.4,0,86,80,96
Atharva Kulkarni,7.1,6.2,9,5,16,1,6.4,0,89,75,100
Ira Mehta,2.6,7,5,9,12,1,7.6,0,73,95,82
Vihaan Yadav,5.5,7.1,8,4,18,1,4.1,0,83,64,100
Dhruv Kulkarni,0.1,6.6,8,5,13,1,2.8,1,67,72,82
Kavya Iyer,6.1,7.8,8,3,14,1,2.5,1,97,59,100
Shaurya Chauhan,2.1,7.3,5,6,18,0,5,1,87,41,70
Riya Saxena,3,6.4,5,3,12,0,5.9,1,87,61,73
Reyansh Kulkarni,7.7,8.4,10,3,15,0,7.3,0,100,42,100
Neha Reddy,4.6,7.2,9,5,24,1,5.8,1,100,69,100
Vivaan Kumar,7.4,6,7,7,18,1,6.3,0,66,65,94
Yash Bose,4.7,5.6,9,4,19,0,2.8,1,83,72,100
Anika Das,4.3,7.8,9,5,14,1,6.2,1,92,96,100
Reyansh Tiwari,2.9,6.5,7,5,11,1,1.2,1,97,73,100
Krishna Chatterjee,4.8,6.3,8,3,10,1,5.6,1,73,76,100
Ankit Verma,4,7.7,9,9,9,1,4.3,1,87,86,100
Anika Mishra,7.1,7.7,8,7,7,1,5.4,0,99,73,100
Krishna Iyer,5.8,6.6,7,8,9,1,8.1,1,86,53,100
Kavya Patel,4.3,6.7,5,4,21,1,1,0,76,44,87
Rahul Goyal,7.6,7.5,9,4,14,1,4,1,70,72,100
Rahul Roy,2.8,7.6,6,5,22,1,1.6,1,79,87,99
Karan Jain,7.5,8.5,7,2,14,1,6,0,86,84,100
Nikhil Jain,1.4,5.8,5,7,21,0,3.5,0,100,96,84
Kavya Kulkarni,4.1,7.2,8,2,18,1,5,0,99,66,100
Ishita Singh,0,8.1,7,3,19,1,6.7,0,80,74,71
Varun Sharma,4.1,6.4,9,5,10,1,4.4,1,92,93,100
Ankit Bose,4.7,7.7,8,4,19,1,6.6,0,100,43,100
Dhruv Mishra,2.9,5.5,8,8,17,1,5.9,1,98,62,82
Varun Verma,0.9,5.3,6,5,18,1,2.5,1,98,74,93
Varun Chauhan,4.2,7.5,7,2,16,1,8,0,97,56,91
Karan Chatterjee,5,6.2,8,6,21,0,2.9,1,99,57,100
Aadhya Shah,2.7,7.8,4,4,20,1,5.3,1,91,79,100
Sneha Mehta,6.5,6.4,7,6,12,1,3.5,0,77,54,100
Sai Trivedi,5.8,8.7,6,6,19,1,4.7,1,82,67,100
Ishaan Trivedi,5.7,6.1,8,6,10,1,4.8,1,77,69,100
Atharva Roy,6.8,5.8,4,7,20,0,3.7,0,81,55,93
Karan Kumar,3.8,7.2,7,6,20,1,1.5,0,100,94,100
Vivaan Goyal,5.1,6.7,6,6,9,1,2.1,1,84,53,100
Rohit Singh,1.9,6.3,7,5,7,0,3,0,85,64,78
Tanvi Kumar,7.3,6,5,6,17,1,9.2,1,88,69,99
Arjun Saxena,6.4,7.5,7,8,10,1,7.7,0,91,60,95
Pooja Nair,6.1,7.3,6,8,10,0,2.6,1,76,54,95
Nikhil Verma,2.4,6.7,6,4,18,0,3.3,1,78,89,86
Reyansh Desai,4.7,7.2,7,4,11,1,6.1,1,86,61,95
Kabir Chatterjee,2.4,7.2,7,4,10,0,6.8,0,84,61,91
Tanvi Bansal,1.2,5.9,6,9,18,1,4.5,0,59,35,54
Shaurya Bansal,1.1,5.9,7,5,10,1,3.4,0,95,52,69
Nikhil Kumar,5.7,5.3,9,6,19,1,6.5,1,69,62,98
Diya Iyer,3.3,7.7,9,4,5,1,4.7,0,57,84,90
Anaya Agarwal,4.4,7.7,6,7,10,1,2.9,0,99,59,98
Meera Gupta,5.5,7.2,8,3,16,1,2.3,1,87,52,100
Myra Mehta,5.7,6.9,8,5,16,0,3.4,0,88,49,100
Anika Reddy,7.1,7.1,8,1,6,1,6.6,1,77,57,100
Manav Nair,5.6,7.4,6,4,20,1,5.4,0,87,52,91
Anaya Mehta,1.8,8,7,5,20,1,6.9,0,96,71,88
Rudra Bansal,5,6.6,5,7,21,0,4.2,0,87,71,100
Rohit Saxena,4.7,7.5,5,4,17,1,7,0,100,79,100
Arjun Mehta,6.7,7.5,8,9,15,1,3,1,94,64,100
Aadhya Iyer,3.8,7.2,4,1,10,1,2.6,0,74,53,99
Aarav Banerjee,3.8,5.8,6,8,19,0,4.2,1,96,86,97
Priya Trivedi,2.3,7.1,8,5,20,0,5.2,0,87,62,85
Priya Banerjee,3,7.7,8,5,22,1,3.6,1,92,53,98
Kavya Kumar,6.6,8.4,9,5,24,0,1.7,1,100,100,100
Ishita Iyer,5.3,7.6,9,7,18,1,5.2,0,86,91,100
Anika Mishra,4.2,5.7,7,5,16,1,6.3,0,82,100,100
Rudra Desai,4.7,5.3,6,9,12,0,3.2,0,93,75,93
Ira Goyal,2.4,7.3,8,8,12,1,2.8,1,86,76,92
Rahul Desai,6.5,6,6,5,13,0,4.6,0,73,80,100
Anika Chauhan,9.8,7.3,6,4,20,1,6.9,0,98,64,100
Pooja Nair,7.9,7.5,6,4,8,0,4.2,0,90,78,100
Atharva Bansal,3.8,6.4,6,4,21,1,3,1,84,72,98
Vivaan Nair,2.8,7.7,8,3,17,0,6.2,0,90,61,86
Ira Tiwari,1.3,6.3,8,8,12,0,5.8,1,75,49,63
Neha Kulkarni,6.8,7.9,8,8,10,1,4.7,0,74,61,97
Kavya Chauhan,4.2,6.8,6,3,5,1,3.9,1,74,66,96
Varun Trivedi,5.1,5.3,9,7,13,0,6.7,1,89,84,98
Riya Shah,4.8,7.5,7,7,24,1,1.7,0,72,64,100
Neha Tiwari,2.5,5,8,4,20,1,4.2,1,86,92,100
Anaya Roy,0.7,9,4,5,17,0,3.7,0,83,60,63
Dhruv Saxena,3,7.6,8,4,23,0,5.7,1,81,30,88
Karan Trivedi,3.9,4.7,9,4,15,1,7.4,1,100,49,98
Meera Bansal,9.5,6.3,6,5,16,0,4.9,0,89,91,100
Karan Goyal,3.5,6.3,6,4,19,1,4.3,1,87,52,89
Aman Tiwari,7.1,7.6,8,2,8,0,4.5,0,74,76,100
Ishita Jain,4.3,7.7,6,6,16,1,5,1,79,57,91
Ira Gupta,5.7,7.3,9,5,9,1,7.3,0,73,67,100
Krishna Sharma,3.9,6.6,8,5,9,1,5.5,0,81,88,96
Aman Reddy,5.6,7.9,9,4,20,0,1.1,1,72,89,100
Manav Joshi,2.4,5.2,8,5,14,0,5.2,1,93,98,100
Anika Pandey,5.8,6.5,8,5,16,0,4.4,1,93,81,100
Palak Bansal,0,6,4,5,13,0,1.9,0,92,71,82
Rahul Tiwari,2.3,8.9,8,4,30,1,7.2,0,62,57,79
Sakshi Agarwal,3.6,7.9,6,7,22,1,3.6,1,71,54,75
Saanvi Agarwal,4.3,7,6,9,17,1,3.4,0,70,70,80
Dhruv Sharma,4.4,7,9,4,5,1,4.1,0,75,99,100
Aadhya Kulkarni,4.2,7.6,10,8,19,1,2.2,0,96,73,100
Rahul Mehta,3.4,5.8,6,8,15,1,1,0,85,77,95
Aditya Trivedi,5.3,6.6,7,3,6,1,2.1,0,88,73,100
Anaya Trivedi,5.8,6,6,6,7,1,6.8,1,86,75,100
Diya Jain,2.3,7,7,5,12,1,1,0,86,75,92
Riya Roy,1.1,6.9,8,4,11,1,1.4,0,95,66,93
Karan Joshi,4.7,7.7,6,3,15,1,2.5,0,84,58,100
Karan Gupta,6,6.5,9,5,22,0,3.3,1,90,81,100
Aarav Saxena,6.4,7.4,8,4,13,1,5.3,0,99,79,100
Atharva Das,5.2,7.7,5,8,19,0,9.6,1,80,75,84
Sai Kumar,0,7.7,7,4,22,0,3.6,0,88,75,84
Pooja Shah,4.1,8.3,9,6,18,1,7.1,0,99,100,100
Ishaan Gupta,4.9,6.7,8,2,16,1,7.4,1,80,71,100
Diya Mishra,3.6,5.8,8,7,7,0,5.8,0,84,76,91
Ankit Bose,2.3,6,10,5,22,1,4.1,1,87,87,100
Myra Mishra,3.8,6.4,6,5,10,0,4.3,1,82,77,97
Kabir Banerjee,4.4,4.6,7,3,14,1,3.3,1,76,80,100
Yash Banerjee,4,7.1,7,1,7,0,6.1,0,89,58,100
Nikhil Chatterjee,4.8,6.6,9,4,13,1,3.2,1,89,62,100
Ishaan Mehta,7.1,7.9,6,5,25,0,5.6,0,79,94,100
Varun Patel,8,6.9,6,5,17,0,5.4,1,70,85,100
Karan Desai,2.5,5.2,7,6,12,0,9.4,1,79,91,85
Karan Verma,3.3,7.7,6,4,20,0,6.6,1,96,79,88
Myra Nair,7.1,7.1,8,1,17,1,8.2,0,92,57,100
Vivaan Patel,2,5.9,6,4,11,0,6,0,97,48,82
Yash Kulkarni,4.9,6.3,6,6,23,0,8.1,1,81,87,95
Meera Chauhan,5.8,6.9,2,7,22,1,1.7,0,84,67,94
Tanishq Sharma,2.5,5.7,4,5,23,1,4.7,0,78,54,72
Aarav Iyer,4.7,6.8,10,2,11,0,6.2,0,94,62,100
Anika Chauhan,5.3,6.7,8,5,13,0,3.9,1,84,77,100
Aditya Nair,6,6.1,5,4,6,0,5.5,1,100,53,100
Priya Mishra,5.6,8.5,6,4,16,1,4.2,1,84,47,94
Reyansh Trivedi,5.2,5.4,3,3,23,1,1.2,0,100,80,100
Harsh Bose,8.5,8.2,9,4,7,1,1.9,0,89,53,100
Ishaan Mishra,3.4,7,10,5,18,1,2.2,0,77,77,99
Aman Goyal,5.6,7.3,7,4,7,0,5.5,0,87,71,100
Aadhya Tiwari,2.4,7.3,8,2,14,1,4.4,0,96,84,100
Sneha Bansal,6.1,4.9,6,9,15,1,8.1,0,73,72,89
Ira Saxena,5.4,6.4,7,10,9,0,5.3,1,82,61,87
Ankit Roy,9.3,6.6,4,4,7,0,1.8,1,70,77,100
Ishita Jain,5.4,6.7,5,6,11,1,7.5,1,85,68,85
Karan Desai,4.4,7.3,5,8,12,0,2.2,0,91,61,83
Krishna Agarwal,4.4,8.5,7,7,6,1,6.1,0,91,76,88
Pooja Verma,4,6.8,7,8,15,1,5.7,0,96,64,97
Kavya Singh,3.2,7.8,6,2,16,0,1,1,97,96,100
Aarav Das,2.5,6.2,9,8,8,1,7.1,0,94,96,92
Aadhya Reddy,8.1,8.4,7,7,18,0,8.1,1,82,69,100
Myra Patel,4.8,7.7,7,6,14,1,6.1,1,87,48,86
Tanvi Yadav,7.1,7.2,5,1,12,0,4.9,1,82,95,100
Sai Chauhan,5.5,6.8,8,4,15,1,3.5,1,81,85,100
Saanvi Goyal,2.8,6.4,8,4,19,1,10.7,1,100,74,91
Krishna Kulkarni,5.9,7.3,8,6,18,1,5.6,1,100,68,100
Tanvi Yadav,2.7,8.1,7,7,9,1,5.6,1,88,49,90
Ishaan Das,2.4,6.7,5,5,13,0,7.1,0,74,40,70
Varun Mishra,6.2,6.1,9,4,15,1,5.5,0,77,70,100
Priya Mehta,0.9,8,8,4,9,0,8,0,76,77,78
Nikhil Patel,1.1,4.6,7,1,23,1,9.1,1,90,78,93
Sai Goyal,5.9,8.1,7,4,21,1,1,0,97,61,100
Sai Chauhan,5,7.5,7,5,7,1,10,1,86,77,92
Vihaan Desai,3.5,7.1,5,4,14,1,6.1,1,86,100,100
Riya Pandey,3.7,8.5,9,1,15,1,5.6,0,100,53,100
Palak Verma,7.8,6.3,8,6,12,1,6,1,77,76,100
Priya Kumar,2.8,5.3,5,6,16,1,6.4,1,82,81,87
Varun Goyal,4.2,6.9,9,8,13,1,7.5,1,90,89,98
Vivaan Goyal,7.1,7.5,9,7,22,1,5,1,78,77,100
Ishaan Gupta,5.2,7.8,8,4,5,1,2.4,0,89,55,98
Atharva Pandey,9.8,6.1,6,3,14,1,4.3,0,74,48,100
Ira Mishra,0.6,4.1,8,8,7,0,6.6,1,78,70,77
Meera Chatterjee,2.3,6.7,8,3,14,1,4.3,0,76,59,94
Sakshi Mishra,4.6,6.9,7,4,12,1,6.4,0,96,64,94
Rudra Patel,4.2,7.7,7,2,22,1,2,1,67,46,97
Sneha Yadav,2.2,6.6,6,3,22,0,3.5,1,83,86,97
Ankit Shah,6.2,4.9,8,4,15,1,4.7,1,70,60,100
Aman Mehta,7.4,6.7,8,9,9,0,8.3,0,73,65,96
Nikhil Desai,2.1,6.9,8,7,17,1,6.9,0,95,72,85
Ankit Nair,1.2,8.5,8,3,13,1,3.4,0,71,83,84
Manav Banerjee,4.4,6.9,8,5,20,0,5.4,0,79,56,92
Sai Shah,4.8,8.6,6,3,19,0,4.3,0,88,83,100
Aditya Verma,3.2,5.4,8,3,22,0,8.9,1,80,66,88
Aarav Pandey,1.7,6.7,5,5,9,0,7.4,0,100,79,87
Aadhya Mishra,2.4,7.7,4,5,16,0,5.4,0,84,68,81
Pooja Mishra,5.1,6.6,5,5,12,0,1.4,1,84,76,100
Yash Kulkarni,3.6,5.9,4,6,9,1,9.2,1,80,67,80
Rohit Reddy,3.7,7.7,6,2,23,0,6.1,0,94,77,92
Pooja Trivedi,0.2,7.2,6,8,8,1,3.1,0,92,56,71
Nikhil Bose,6,7.5,10,10,19,1,6.8,0,73,45,83
Sai Roy,3.7,7.1,7,5,5,0,2.4,1,79,57,99
Saanvi Mehta,5.6,7.3,6,5,21,0,3.5,0,86,85,100
Aadhya Kumar,6.1,9.4,7,5,5,1,4.9,1,78,68,100
Karan Shah,7.9,5.7,7,2,15,0,4.3,1,89,76,100
Sai Joshi,3.5,8.1,8,7,6,1,4.4,0,71,43,92
Tanishq Jain,2.6,7.7,8,5,24,1,5.4,1,74,76,84
Priya Kumar,6,4,9,4,14,1,2.9,0,81,82,100
Nikhil Agarwal,2.9,7.5,7,5,13,0,5.5,0,72,80,85
Tanvi Kulkarni,4,7.1,7,3,12,0,5.4,0,94,60,96
Kavya Yadav,3.1,6.2,8,4,25,0,4,0,81,77,97
Shaurya Singh,3.1,6.8,6,7,18,1,4.8,0,86,36,78
Sakshi Gupta,3.2,6.9,6,6,16,1,5,0,89,90,100
Sakshi Pandey,6.5,6.4,8,10,20,0,4.5,0,93,80,99
Dhruv Singh,3.2,6.5,9,7,9,1,6.8,0,73,97,98
Atharva Chatterjee,3.5,7.5,9,5,21,1,7.4,1,83,80,100
Meera Jain,2.8,6.7,9,5,14,1,6,0,93,80,97
Aditya Reddy,5.8,6.2,7,7,27,1,5.5,0,78,68,100
Riya Banerjee,5.7,7.4,5,5,12,1,6,0,100,77,100
Vihaan Mehta,4.3,7.5,7,4,19,0,8.7,1,78,97,100
Krishna Kulkarni,3.5,7.8,7,1,14,1,5.4,1,82,77,100
Rudra Kumar,5.3,8.1,9,7,9,1,5,0,85,81,100
Ira Goyal,4.4,7.1,8,4,18,1,1.4,1,96,75,100
Neha Kumar,2.3,6.3,6,7,20,1,5.1,1,85,78,76
Rudra Chauhan,5.8,6.5,8,4,9,1,6.2,1,66,75,100
Rahul Verma,6.6,6.4,5,6,11,1,6.3,0,79,82,100
Diya Kumar,2.3,7.3,5,7,5,0,4.7,0,91,64,70
Yash Sharma,3.5,8.1,9,10,19,1,6.8,1,75,63,74
Dhruv Reddy,4.9,7.9,7,7,17,0,3.2,0,100,66,97
Diya Roy,5.6,6.1,8,4,16,1,2.6,1,90,79,100
Myra Bansal,5.8,5,6,6,7,1,6.5,0,94,58,100
Arjun Desai,2.5,6.3,9,4,17,1,2.7,0,77,65,95
Dhruv Patel,2.8,7.1,5,5,8,1,5,1,77,79,81
Rohit Gupta,4.1,7.5,8,3,16,1,5.6,0,94,71,100
Arjun Verma,2.2,6.4,5,4,15,0,5.4,0,92,69,80
Tanvi Bose,3.7,6.8,8,6,17,1,8.1,0,90,79,89
Saanvi Desai,6.3,5.7,8,6,19,1,3.9,1,85,44,98
Krishna Mishra,4.4,8.2,5,8,20,1,3,1,93,41,87
Palak Verma,1.8,8.1,9,6,14,1,6.9,1,75,58,77
Palak Patel,5.3,5.8,9,4,24,0,7.7,1,100,67,100
Aman Chatterjee,5.3,7.9,3,4,16,0,1,1,99,56,93
Shaurya Bose,7,6.4,5,7,21,1,2.3,1,79,53,100
Ira Trivedi,1.7,6.4,6,5,12,0,6.2,1,98,92,95
Diya Iyer,3.4,6.2,6,5,19,0,4.4,1,100,89,99
Ishita Saxena,5,6.6,4,7,17,1,8.2,1,100,57,84
Diya Das,3.4,7.1,5,7,14,1,8.5,1,83,86,89
Tanvi Saxena,1.8,7.8,7,5,20,1,2.9,0,68,68,75
Aditya Iyer,4.6,5.7,9,4,24,0,3.8,1,84,60,97
Pooja Tiwari,4.6,6.4,10,6,7,0,6.2,1,86,52,93
Riya Roy,3.6,7.4,9,6,7,1,1.5,1,81,67,100
Rahul Pandey,4.8,6,8,2,11,0,6.2,1,80,76,100
Nikhil Singh,3.5,8.7,9,8,19,0,1.1,0,85,70,90
Vihaan Verma,5,8.2,10,6,20,1,7.2,1,88,59,100
Ankit Reddy,4.9,7.7,4,7,15,0,5.4,1,76,43,74
Neha Agarwal,4.7,6.5,6,7,23,0,4.5,1,93,76,95
Myra Iyer,3.4,6.7,8,4,8,0,6.3,0,72,87,87
Atharva Chatterjee,2.4,5.5,7,4,24,0,5.1,0,69,36,77
Palak Chauhan,4.3,7.8,5,6,13,1,5.6,1,72,55,74
Palak Nair,7,6.8,8,4,21,1,6.5,0,89,53,100
Sakshi Das,2.2,7.3,6,4,7,1,1.9,1,82,77,99
Aadhya Sharma,0,8.2,8,6,17,0,1.3,1,69,83,78
Dhruv Saxena,6,6,6,4,21,1,10.3,1,100,69,100
Rudra Roy,2.4,5.3,9,5,16,0,7.2,1,82,82,87
Aadhya Das,6.5,7.5,4,5,7,1,6.7,0,75,56,92
Tanvi Saxena,6.6,6.8,8,9,24,0,5.6,0,84,68,100
Dhruv Kumar,5.3,6.5,4,2,17,1,6.7,0,96,70,100
Palak Das,2.8,6.5,8,7,17,0,3.6,1,97,71,90
Priya Reddy,4.5,8.1,9,3,17,1,2.5,0,82,52,100
Sai Singh,5.5,8.4,8,4,24,0,5.8,0,98,75,100
Neha Chauhan,4.3,7.7,8,5,14,0,8.6,0,84,54,83
Harsh Pandey,3,6,6,6,12,0,2.5,0,87,73,91
Diya Banerjee,4.7,5.8,9,7,15,1,5.3,0,67,61,91
Dhruv Gupta,0.4,7.9,7,7,19,0,7.6,1,84,80,76
Karan Agarwal,1.1,5.2,8,2,17,1,6.7,0,84,55,90
Varun Patel,5,6,8,5,20,1,1,1,88,66,100
Kabir Tiwari,0.8,7.1,7,1,17,0,4.1,0,87,49,91
Krishna Kulkarni,7.2,5.7,8,6,14,1,4.6,0,98,61,100
Ankit Iyer,1.9,7.4,9,3,19,0,5.7,1,100,64,85
Aditya Iyer,0.6,7.9,7,1,19,0,5.4,1,88,63,77
Ira Shah,7.1,8.1,10,6,21,0,1,1,95,58,100
Vihaan Joshi,6.7,5.8,10,6,14,1,4.5,0,73,78,100
Vivaan Pandey,0.7,5.6,9,7,13,0,4.3,0,100,52,75
Nikhil Mishra,4.2,9.2,8,6,24,1,7.5,0,69,86,84
